16:04:16.003 spring-boot-logging [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$293f36e1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
16:04:17.025 spring-boot-logging [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
16:04:17.086 spring-boot-logging [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:04:17.100 spring-boot-logging [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
16:04:17.100 spring-boot-logging [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
16:04:17.108 spring-boot-logging [restartedMain] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\applications\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\Git\cmd;D:\applications\apache-maven-3.5.4\bin;D:\applications\bin;;C:\Program Files\Microsoft VS Code\bin;C:\Users\Lin\AppData\Local\Microsoft\WindowsApps;;.]
16:04:17.266 spring-boot-logging [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:04:17.266 spring-boot-logging [restartedMain] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4436 ms
16:04:19.018 spring-boot-logging [restartedMain] INFO  c.s.c.c.i.server.NettyServer - listen on port: 9005
16:04:20.590 spring-boot-logging [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
16:04:21.304 spring-boot-logging [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
16:04:21.372 spring-boot-logging [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:04:21.428 spring-boot-logging [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
16:04:21.434 spring-boot-logging [restartedMain] INFO  com.skywilling.cn.web.WebApplication - Started WebApplication in 10.028 seconds (JVM running for 16.207)
